store_nbr,family,DENS-416x64,LSTM-432x32,LSTM-432x64,LSTM-432x96,LSTM-432x128,LSTM-432x256
24,CELEBRATION,0.13005399703979492,0.22583717107772827,0.22602225840091705,0.22811827063560486,0.23091831803321838,0.23114800453186035
24,CLEANING,0.013755438849329948,0.019483234733343124,0.019468072801828384,0.019468002021312714,0.019468573853373528,0.019467823207378387
24,DAIRY,0.011857841163873672,0.04463227093219757,0.04457562416791916,0.04457445442676544,0.04457474127411842,0.04456932097673416
24,DELI,0.014998890459537506,0.272672176361084,0.25746989250183105,0.24495093524456024,0.2372817099094391,0.25221550464630127
24,EGGS,0.01240354310721159,0.14041930437088013,0.1376175582408905,0.13707394897937775,0.1373496949672699,0.13666507601737976
24,FROZEN FOODS,0.022659622132778168,0.08055975288152695,0.06434263288974762,0.05908474698662758,0.05092886462807655,0.052953921258449554
24,GROCERY I,0.013593988493084908,1.189324140548706,1.188799500465393,1.1887855529785156,1.1887848377227783,1.1887108087539673
24,GROCERY II,0.28802645206451416,0.21759402751922607,0.21931211650371552,0.22033467888832092,0.2309131920337677,0.2317848652601242
24,HARDWARE,0.29279324412345886,0.38653022050857544,0.3437209725379944,0.3478595018386841,0.34782764315605164,0.3479171395301819
24,HOME AND KITCHEN I,0.10335224866867065,0.10397576540708542,0.1040462926030159,0.10392585396766663,0.10382077097892761,0.1037045568227768
24,HOME AND KITCHEN II,0.18435660004615784,0.3275304436683655,0.28489068150520325,0.24448303878307343,0.20615100860595703,0.19462403655052185
24,HOME CARE,0.028597133234143257,0.14387544989585876,0.11825087666511536,0.10661507397890091,0.09904849529266357,0.11369847506284714
24,LADIESWEAR,0.5523747801780701,0.47915223240852356,0.46585240960121155,0.46617937088012695,0.4661438465118408,0.4661931097507477
24,LAWN AND GARDEN,0.08783987164497375,0.3134726583957672,0.2990967631340027,0.24232620000839233,0.20337755978107452,0.1943655014038086
24,LINGERIE,0.3934309184551239,0.4887641966342926,0.4972480535507202,0.49317479133605957,0.4935791492462158,0.49366748332977295
24,"LIQUOR,WINE,BEER",0.04847081005573273,0.35779207944869995,0.2519312798976898,0.20004592835903168,0.27093368768692017,0.2947450578212738
24,MAGAZINES,0.2543128728866577,0.37385377287864685,0.3545663356781006,0.353316992521286,0.35365575551986694,0.3539896309375763
24,MEATS,0.019937681034207344,0.07891324162483215,0.0541827529668808,0.05312997102737427,0.05205791816115379,0.05221748352050781
24,PERSONAL CARE,0.02842118963599205,0.15081921219825745,0.13338568806648254,0.12385587394237518,0.1181500107049942,0.13018196821212769
24,PET SUPPLIES,0.0986553207039833,0.19187840819358826,0.18417158722877502,0.17918698489665985,0.17807136476039886,0.17774225771427155
24,PLAYERS AND ELECTRONICS,0.20209723711013794,0.32191595435142517,0.276594877243042,0.27724123001098633,0.27738162875175476,0.2776968479156494
24,POULTRY,0.018652617931365967,0.28203240036964417,0.043029192835092545,0.04033626616001129,0.040480077266693115,0.041362762451171875
24,PREPARED FOODS,0.030696481466293335,0.06854725629091263,0.05101679638028145,0.04102170094847679,0.03892108052968979,0.04380493611097336
24,PRODUCE,0.010590242221951485,1.364330530166626,1.3635989427566528,1.3635791540145874,1.3635785579681396,1.3634742498397827
24,SEAFOOD,0.11439116299152374,0.2333485186100006,0.20172327756881714,0.18607650697231293,0.17861180007457733,0.17174285650253296
25,BREAD/BAKERY,0.130610391497612,0.07163256406784058,0.07164698839187622,0.07326790690422058,0.07411360740661621,0.07689475268125534
25,DELI,0.1239708960056305,0.3167050778865814,0.2753218114376068,0.2568281292915344,0.25370070338249207,0.2386772334575653
25,FROZEN FOODS,0.2295437902212143,0.27051299810409546,0.329858660697937,0.3473990261554718,0.3499346971511841,0.39344316720962524
25,MEATS,0.11174484342336655,0.11173024773597717,0.09753209352493286,0.09689101576805115,0.09705634415149689,0.10311144590377808
25,POULTRY,0.10324954241514206,0.06767615675926208,0.07152175158262253,0.07647585868835449,0.08003345131874084,0.09984301030635834
25,PREPARED FOODS,0.14978891611099243,0.14409133791923523,0.14601022005081177,0.1661338061094284,0.17523697018623352,0.21525493264198303
25,PRODUCE,0.14807096123695374,0.4490819275379181,0.4486624002456665,0.44865670800209045,0.44865739345550537,0.4486738443374634
25,SEAFOOD,0.5625534057617188,0.6338229179382324,0.6705564856529236,0.6463437080383301,0.6402037739753723,0.6397290825843811
26,AUTOMOTIVE,0.33821019530296326,0.4329032003879547,0.4314132332801819,0.4316917061805725,0.4314773976802826,0.43153443932533264
26,BEAUTY,0.1828491985797882,0.5901960730552673,0.4640471935272217,0.4506664574146271,0.4696044325828552,0.4707496762275696
26,BEVERAGES,0.13338319957256317,0.13911786675453186,0.13924548029899597,0.13915780186653137,0.11808730661869049,0.15007197856903076
26,BREAD/BAKERY,0.038221292197704315,0.18405434489250183,0.16795934736728668,0.16134467720985413,0.15223003923892975,0.160258948802948
26,CELEBRATION,0.3290289342403412,0.5435916185379028,0.5101207494735718,0.5070403814315796,0.5069392323493958,0.5069705247879028
26,CLEANING,0.16491389274597168,0.24228647351264954,0.1993108093738556,0.19099508225917816,0.17589795589447021,0.1730882078409195
26,DAIRY,0.07060164958238602,0.3561583161354065,0.3365243077278137,0.32714521884918213,0.32111233472824097,0.3392684757709503
26,DELI,0.08371423929929733,0.6570798754692078,0.6005986928939819,0.5629453659057617,0.5529040098190308,0.6234530806541443
26,EGGS,0.0856853574514389,0.47580233216285706,0.4641115665435791,0.45668765902519226,0.4571232795715332,0.45770227909088135
26,FROZEN FOODS,0.2316662073135376,0.26949864625930786,0.24352245032787323,0.22650720179080963,0.21677334606647491,0.2260264754295349
26,GROCERY I,0.10200569778680801,0.0888700783252716,0.08881539106369019,0.08881433308124542,0.08881473541259766,0.08881060034036636
26,GROCERY II,1.7799484729766846,2.1604857444763184,1.819990873336792,1.7650355100631714,1.7547320127487183,1.7532603740692139
26,HARDWARE,0.19414092600345612,0.426334023475647,0.38439226150512695,0.3872804641723633,0.3874857425689697,0.38760191202163696
26,HOME AND KITCHEN I,0.5165807008743286,0.5194547176361084,0.5230968594551086,0.52366042137146,0.5234609842300415,0.5234214663505554
26,HOME AND KITCHEN II,0.28519654273986816,0.5356454253196716,0.4439648687839508,0.4400724172592163,0.4388009309768677,0.4387427866458893
