eval IL,train IL 32,train IL 64,train IL 96,train IL 128
32,4.043564796447754,1.8909927606582642,2.0967586040496826,2.4157936573028564
64,4.0060529708862305,1.8911113739013672,2.076342821121216,2.393392324447632
96,3.956176519393921,1.8705025911331177,2.0424551963806152,2.357813835144043
128,3.871105194091797,1.8152265548706055,1.9782772064208984,2.2922089099884033
