eval IL,train IL 32,train IL 64,train IL 96
32,4.195580959320068,3.257368326187134,2.559006452560425
64,4.197630882263184,3.2569234371185303,2.5607614517211914
96,4.207009315490723,3.2648658752441406,2.602747917175293
