epoch,loss,val_loss
0,5.322802543640137,3.514362096786499
1,3.2195637226104736,2.0023763179779053
2,2.312633991241455,1.4767985343933105
3,1.4998687505722046,1.1079555749893188
4,1.264373540878296,0.7911574840545654
5,0.9114729166030884,0.49210992455482483
6,0.7459524273872375,0.3923918306827545
7,0.5118748545646667,0.35197165608406067
8,0.5888676047325134,0.2909831404685974
9,0.4931187927722931,0.2814924120903015
10,0.559727132320404,0.27598851919174194
11,0.4392058253288269,0.2621876895427704
12,0.5055010914802551,0.24463562667369843
13,0.43776997923851013,0.2447693645954132
14,0.5132676959037781,0.246781587600708
15,0.41450464725494385,0.2451087385416031
16,0.4770549237728119,0.2306937724351883
17,0.4170643091201782,0.2317136824131012
18,0.4892028570175171,0.23626984655857086
19,0.4031235873699188,0.23653623461723328
