epoch,loss,val_loss
0,6.481486797332764,5.060828685760498
1,5.04358434677124,4.9368896484375
2,6.249924659729004,4.771602153778076
3,5.556974411010742,4.623849391937256
4,6.019229412078857,4.488990306854248
5,4.707715034484863,4.380779266357422
6,5.8079400062561035,4.2341718673706055
7,5.108248233795166,4.0856828689575195
8,5.563157081604004,3.950878143310547
9,4.358082294464111,3.8357508182525635
10,5.306241989135742,3.675321578979492
11,4.568124771118164,3.5080578327178955
12,5.020202159881592,3.354177474975586
13,3.8614096641540527,3.1954212188720703
14,4.607100963592529,3.0225813388824463
15,3.8975448608398438,2.875654697418213
16,4.350436210632324,2.7307581901550293
17,3.288095474243164,2.579946756362915
18,3.9005320072174072,2.41201114654541
19,3.2407634258270264,2.2922089099884033
