epoch,loss,val_loss
0,5.309274196624756,5.491784572601318
1,5.719300746917725,5.291711330413818
2,4.828832626342773,5.109297275543213
3,6.276766300201416,4.893648147583008
4,4.95487642288208,4.7886481285095215
5,5.125113487243652,4.6067328453063965
6,4.332261562347412,4.403812408447266
7,5.621921539306641,4.155954360961914
8,4.464402198791504,4.081490516662598
9,4.4778852462768555,3.897754669189453
10,3.7334253787994385,3.7519476413726807
11,5.007366180419922,3.5820529460906982
12,4.112393379211426,3.535027265548706
13,3.9612834453582764,3.3520891666412354
14,3.2049009799957275,3.177828788757324
15,4.40021276473999,3.005460739135742
16,3.6968514919281006,3.0221266746520996
17,3.4505109786987305,2.8391616344451904
18,2.712674140930176,2.7346696853637695
19,3.925281047821045,2.5927951335906982
